time,time
2023-01-08 15:49:36,0
2023-01-08 15:49:35,0
2023-01-08 15:49:34,0
2023-01-08 15:49:33,0
2023-01-08 15:49:32,0
2023-01-08 15:49:31,0
2023-01-08 15:49:30,0
2023-01-08 15:49:29,0
2023-01-08 15:49:28,0
2023-01-08 15:49:27,0
2023-01-08 15:49:26,0
2023-01-08 15:49:25,0
2023-01-08 15:49:24,0
2023-01-08 15:49:23,0
2023-01-08 15:49:22,0
2023-01-08 15:49:21,0
2023-01-08 15:49:20,0
2023-01-08 15:49:19,0
2023-01-08 15:49:18,0
2023-01-08 15:49:17,0
2023-01-08 15:49:16,0.2999345
2023-01-08 15:49:15,0.7000655
2023-01-08 15:49:14,0
2023-01-08 15:49:13,0.3008199
2023-01-08 15:49:12,0.6991801
2023-01-08 15:49:11,0
2023-01-08 15:49:10,0
2023-01-08 15:49:09,0
2023-01-08 15:49:08,0
2023-01-08 15:49:07,0
2023-01-08 15:49:06,0.2999444
2023-01-08 15:49:05,1.899585
2023-01-08 15:49:04,2.800471
2023-01-08 15:49:03,0
2023-01-08 15:49:02,0
2023-01-08 15:49:01,0
2023-01-08 15:49:00,0
2023-01-08 15:48:59,0
2023-01-08 15:48:58,0
2023-01-08 15:48:57,0
2023-01-08 15:48:56,0
2023-01-08 15:48:55,0
2023-01-08 15:48:54,0
2023-01-08 15:48:53,0
2023-01-08 15:48:52,0
2023-01-08 15:48:51,0
2023-01-08 15:48:50,0
2023-01-08 15:48:49,0
2023-01-08 15:48:48,0
2023-01-08 15:48:47,0
2023-01-08 15:48:46,0
2023-01-08 15:48:45,0
2023-01-08 15:48:44,0
2023-01-08 15:48:43,0
2023-01-08 15:48:42,0
2023-01-08 15:48:41,0
2023-01-08 15:48:40,0
2023-01-08 15:48:39,0
2023-01-08 15:48:38,0.3014749
2023-01-08 15:48:37,0.6985251
2023-01-08 15:48:36,0
2023-01-08 15:48:35,0
2023-01-08 15:48:34,0
2023-01-08 15:48:33,0
2023-01-08 15:48:32,0
2023-01-08 15:48:31,0
2023-01-08 15:48:30,0
2023-01-08 15:48:29,0
2023-01-08 15:48:28,0
2023-01-08 15:48:27,1.5003699
2023-01-08 15:48:26,3.49963
2023-01-08 15:48:25,0
2023-01-08 15:48:24,0
2023-01-08 15:48:23,0.5998652
2023-01-08 15:48:22,5.299651
2023-01-08 15:48:21,9.100484
2023-01-08 15:48:20,0
2023-01-08 15:48:19,0
2023-01-08 15:48:18,0
2023-01-08 15:48:17,0
2023-01-08 15:48:16,0
2023-01-08 15:48:15,0
2023-01-08 15:48:14,0
2023-01-08 15:48:13,0
2023-01-08 15:48:12,0
2023-01-08 15:48:11,0
2023-01-08 15:48:10,0
2023-01-08 15:48:09,0
2023-01-08 15:48:08,0
2023-01-08 15:48:07,0
2023-01-08 15:48:06,0
2023-01-08 15:48:05,0
2023-01-08 15:48:04,0
2023-01-08 15:48:03,0
2023-01-08 15:48:02,0
2023-01-08 15:48:01,0
2023-01-08 15:48:00,0
2023-01-08 15:47:59,0
2023-01-08 15:47:58,0
2023-01-08 15:47:57,0
2023-01-08 15:47:56,0
2023-01-08 15:47:55,0
2023-01-08 15:47:54,0
2023-01-08 15:47:53,0
2023-01-08 15:47:52,0
2023-01-08 15:47:51,0
2023-01-08 15:47:50,0
2023-01-08 15:47:49,0
2023-01-08 15:47:48,0
2023-01-08 15:47:47,0
2023-01-08 15:47:46,1.1995876
2023-01-08 15:47:45,2.800412
2023-01-08 15:47:44,5.699542
2023-01-08 15:47:43,13.300458
2023-01-08 15:47:42,0
2023-01-08 15:47:41,0
2023-01-08 15:47:40,0
2023-01-08 15:47:39,0
2023-01-08 15:47:38,0
2023-01-08 15:47:37,0
