time,read,write
2023-01-07 17:44:57,0,0
2023-01-07 17:44:56,0,0
2023-01-07 17:44:55,0,0
2023-01-07 17:44:54,0,0
2023-01-07 17:44:53,13.846822,-0.2715063
2023-01-07 17:44:52,37.15318,-0.7284937
2023-01-07 17:44:51,0,0
2023-01-07 17:44:50,0,0
2023-01-07 17:44:49,0,-0.2722739
2023-01-07 17:44:48,0,-0.7277261
2023-01-07 17:44:47,0,0
2023-01-07 17:44:46,0,0
2023-01-07 17:44:45,0,0
2023-01-07 17:44:44,0,-0.2723121
2023-01-07 17:44:43,0,-0.7276879
2023-01-07 17:44:42,0,0
2023-01-07 17:44:41,0,0
2023-01-07 17:44:40,0,0
2023-01-07 17:44:39,0,0
2023-01-07 17:44:38,0,-0.2725102
2023-01-07 17:44:37,0,-0.7274898
2023-01-07 17:44:36,0,0
2023-01-07 17:44:35,0,0
2023-01-07 17:44:34,2.451254,0
2023-01-07 17:44:33,25.80358,0
2023-01-07 17:44:32,51.74516,0
2023-01-07 17:44:31,0,0
2023-01-07 17:44:30,0,0
2023-01-07 17:44:29,0,0
2023-01-07 17:44:28,0,0
2023-01-07 17:44:27,0,0
2023-01-07 17:44:26,2.439196,-0.2710218
2023-01-07 17:44:25,6.560804,-0.7289782
2023-01-07 17:44:24,0,0
2023-01-07 17:44:23,0,0
2023-01-07 17:44:22,0,-0.271626
2023-01-07 17:44:21,0,-0.728374
2023-01-07 17:44:20,0,0
2023-01-07 17:44:19,0,0
2023-01-07 17:44:18,0,0
2023-01-07 17:44:17,0,-0.2721911
2023-01-07 17:44:16,0,-0.7278089
2023-01-07 17:44:15,0,0
2023-01-07 17:44:14,0,0
2023-01-07 17:44:13,0,0
2023-01-07 17:44:12,0,-0.2718118
2023-01-07 17:44:11,0,-0.7281882
2023-01-07 17:44:10,0,0
2023-01-07 17:44:09,0,0
2023-01-07 17:44:08,0,0
2023-01-07 17:44:07,0,0
2023-01-07 17:44:06,0,0
2023-01-07 17:44:05,0,0
2023-01-07 17:44:04,0,0
2023-01-07 17:44:03,0,0
2023-01-07 17:44:02,0,0
2023-01-07 17:44:01,0,-0.2711102
2023-01-07 17:44:00,0,-0.7288898
2023-01-07 17:43:59,0,0
2023-01-07 17:43:58,0,0
2023-01-07 17:43:57,0,0
2023-01-07 17:43:56,0,-0.2713114
2023-01-07 17:43:55,0,-0.7286886
2023-01-07 17:43:54,0,0
2023-01-07 17:43:53,0,0
2023-01-07 17:43:52,0,0
2023-01-07 17:43:51,0,-0.2743576
2023-01-07 17:43:50,0,-0.7256424
2023-01-07 17:43:49,0,0
2023-01-07 17:43:48,0,0
2023-01-07 17:43:47,0,0
2023-01-07 17:43:46,0,-0.2721167
2023-01-07 17:43:45,0,-0.7278833
2023-01-07 17:43:44,0,0
2023-01-07 17:43:43,0,0
2023-01-07 17:43:42,0,0
2023-01-07 17:43:41,0,0
2023-01-07 17:43:40,41.60995,0
2023-01-07 17:43:39,110.39005,0
2023-01-07 17:43:38,0,0
2023-01-07 17:43:37,0,0
2023-01-07 17:43:36,14.108688,-0.2713209
2023-01-07 17:43:35,37.89131,-0.7286791
2023-01-07 17:43:34,0,0
2023-01-07 17:43:33,0,0
2023-01-07 17:43:32,0,-0.2749763
2023-01-07 17:43:31,0,-0.7250237
2023-01-07 17:43:30,0,0
2023-01-07 17:43:29,0,0
2023-01-07 17:43:28,0,0
2023-01-07 17:43:27,0,-0.2722416
2023-01-07 17:43:26,0,-0.7277584
2023-01-07 17:43:25,0,0
2023-01-07 17:43:24,0,0
2023-01-07 17:43:23,0,0
2023-01-07 17:43:22,0,-0.2724547
2023-01-07 17:43:21,0,-0.7275453
2023-01-07 17:43:20,0,0
2023-01-07 17:43:19,0,0
2023-01-07 17:43:18,0,0
2023-01-07 17:43:17,24.94658,0
2023-01-07 17:43:16,72.74707,0
2023-01-07 17:43:15,15.30635,0
2023-01-07 17:43:14,2.170724,-0.2713405
2023-01-07 17:43:13,5.829276,-0.7286595
2023-01-07 17:43:12,0,0
2023-01-07 17:43:11,0,0
2023-01-07 17:43:10,0,0
2023-01-07 17:43:09,0,-0.272254
2023-01-07 17:43:08,0,-0.727746
2023-01-07 17:43:07,0,0
2023-01-07 17:43:06,0,0
2023-01-07 17:43:05,0,0
2023-01-07 17:43:04,0,-0.2728291
2023-01-07 17:43:03,0,-0.7271709
2023-01-07 17:43:02,0,0
2023-01-07 17:43:01,0,0
2023-01-07 17:43:00,0,0
2023-01-07 17:42:59,0,-0.2720024
2023-01-07 17:42:58,0,-0.7279976
2023-01-07 17:42:57,0,0
2023-01-07 17:42:56,0,0
2023-01-07 17:42:55,2.718482,0
2023-01-07 17:42:54,150.94142,0
2023-01-07 17:42:53,386.3401,0
2023-01-07 17:42:52,0,0
2023-01-07 17:42:51,5.149564,0
2023-01-07 17:42:50,13.850436,0
2023-01-07 17:42:49,0,0
2023-01-07 17:42:48,0,0
2023-01-07 17:42:47,0,0
2023-01-07 17:42:46,0,0
2023-01-07 17:42:45,0,0
2023-01-07 17:42:44,0,0
2023-01-07 17:42:43,0,0
2023-01-07 17:42:42,0,0
2023-01-07 17:42:41,0,0
2023-01-07 17:42:40,0,0
2023-01-07 17:42:39,0,0
2023-01-07 17:42:38,0,0
2023-01-07 17:42:37,0,0
2023-01-07 17:42:36,0,0
2023-01-07 17:42:35,0,0
2023-01-07 17:42:34,0,0
2023-01-07 17:42:33,0,0
2023-01-07 17:42:32,0,0
2023-01-07 17:42:31,0,0
2023-01-07 17:42:30,0,0
2023-01-07 17:42:29,0,0
2023-01-07 17:42:28,0,0
2023-01-07 17:42:27,0,0
2023-01-07 17:42:26,0,0
2023-01-07 17:42:25,0,0
2023-01-07 17:42:24,0,0
2023-01-07 17:42:23,0,0
2023-01-07 17:42:22,0,0
2023-01-07 17:42:21,0,0
2023-01-07 17:42:20,0,0
2023-01-07 17:42:19,0,0
2023-01-07 17:42:18,0,0
2023-01-07 17:42:17,0,0
2023-01-07 17:42:16,0,0
2023-01-07 17:42:15,0,0
2023-01-07 17:42:14,0,0
2023-01-07 17:42:13,0,0
2023-01-07 17:42:12,0,0
2023-01-07 17:42:11,0,0
2023-01-07 17:42:10,0,0
2023-01-07 17:42:09,0,0
2023-01-07 17:42:08,0,0
2023-01-07 17:42:07,0,0
2023-01-07 17:42:06,0,0
2023-01-07 17:42:05,0,0
2023-01-07 17:42:04,0,0
2023-01-07 17:42:03,0,0
2023-01-07 17:42:02,0,0
2023-01-07 17:42:01,0,0
2023-01-07 17:42:00,0,0
2023-01-07 17:41:59,0,0
2023-01-07 17:41:58,0,0
2023-01-07 17:41:57,0,0
2023-01-07 17:41:56,0,0
2023-01-07 17:41:55,0,0
2023-01-07 17:41:54,0,0
2023-01-07 17:41:53,0,0
2023-01-07 17:41:52,0,0
2023-01-07 17:41:51,0,0
2023-01-07 17:41:50,0,0
2023-01-07 17:41:49,0,0
2023-01-07 17:41:48,0,0
2023-01-07 17:41:47,0,0
2023-01-07 17:41:46,0,0
2023-01-07 17:41:45,0,0
2023-01-07 17:41:44,0,0
2023-01-07 17:41:43,0,0
2023-01-07 17:41:42,0,0
2023-01-07 17:41:41,0,0
2023-01-07 17:41:40,0,0
2023-01-07 17:41:39,0,0
2023-01-07 17:41:38,0,0
2023-01-07 17:41:37,0,0
2023-01-07 17:41:36,0,0
2023-01-07 17:41:35,0,0
2023-01-07 17:41:34,0,0
2023-01-07 17:41:33,0,0
2023-01-07 17:41:32,0,0
2023-01-07 17:41:31,0,0
2023-01-07 17:41:30,0,0
2023-01-07 17:41:29,0,0
2023-01-07 17:41:28,0,0
2023-01-07 17:41:27,0,0
2023-01-07 17:41:26,0,0
2023-01-07 17:41:25,0,0
2023-01-07 17:41:24,0,0
2023-01-07 17:41:23,0,0
2023-01-07 17:41:22,0,0
2023-01-07 17:41:21,0,0
2023-01-07 17:41:20,0,0
2023-01-07 17:41:19,0,0
2023-01-07 17:41:18,0,0
2023-01-07 17:41:17,0,0
2023-01-07 17:41:16,0,0
2023-01-07 17:41:15,0,0
2023-01-07 17:41:14,0,0
2023-01-07 17:41:13,0,0
2023-01-07 17:41:12,0,0
2023-01-07 17:41:11,0,0
2023-01-07 17:41:10,0,0
2023-01-07 17:41:09,0,0
2023-01-07 17:41:08,0,0
2023-01-07 17:41:07,0,0
2023-01-07 17:41:06,0,0
2023-01-07 17:41:05,0,0
2023-01-07 17:41:04,0,0
2023-01-07 17:41:03,0,0
2023-01-07 17:41:02,0,0
2023-01-07 17:41:01,0,0
2023-01-07 17:41:00,0,0
2023-01-07 17:40:59,0,0
2023-01-07 17:40:58,0,0
